Visitor/Neutral,PTS,Home/Neutral,PTS2,AwayOdds,HomeOdds
Atlanta Hawks,109,Sacramento Kings,108,+164,-198
Golden State Warriors,99,Los Angeles Clippers,102,-322,+294
Cleveland Cavaliers,117,Boston Celtics,120,+200,-246
Charlotte Hornets,115,Brooklyn Nets,116,-102,-119
Denver Nuggets,122,Memphis Grizzlies,110,+135,-165
New Orleans Pelicans,91,Dallas Mavericks,132,+600,-900
Oklahoma City Thunder,104,San Antonio Spurs,110,-515,+390
Utah Jazz,118,Los Angeles Lakers,124,+400,-542
New Orleans Pelicans,100,Cleveland Cavaliers,128,+645,-974
Chicago Bulls,106,Milwaukee Bucks,122,+270,-340
Indiana Pacers,113,Houston Rockets,130,+190,-230
Philadelphia 76ers,111,Memphis Grizzlies,117,-142,+120
Portland Trail Blazers,99,Oklahoma City Thunder,109,+569,-824
Atlanta Hawks,97,Golden State Warriors,120,+275,-345
New York Knicks,138,Phoenix Suns,122,-203,+169
Orlando Magic,93,Los Angeles Clippers,104,-152,+128
Detroit Pistons,121,Charlotte Hornets,123,-135,+114
Minnesota Timberwolves,105,Toronto Raptors,110,-270,+220
Utah Jazz,118,San Antonio Spurs,126,+124,-149
Orlando Magic,119,Los Angeles Lakers,118,+189,-227
Brooklyn Nets,98,Philadelphia 76ers,113,+157,-178
Boston Celtics,108,Washington Wizards,96,-1449,+952
Golden State Warriors,112,New Orleans Pelicans,108,-497,+395
Atlanta Hawks,122,Chicago Bulls,136,-112,+100
Portland Trail Blazers,88,Houston Rockets,116,+537,-719
Indiana Pacers,117,Milwaukee Bucks,129,+187,-214
Dallas Mavericks,123,Denver Nuggets,120,+126,-142
Sacramento Kings,88,Los Angeles Clippers,104,-153,+136
New York Knicks,106,Utah Jazz,121,-371,+308
Detroit Pistons,100,Orlando Magic,111,+322,-393
Memphis Grizzlies,142,Chicago Bulls,131,-201,+177
Portland Trail Blazers,104,Houston Rockets,98,+568,-775
Charlotte Hornets,119,Milwaukee Bucks,125,+235,-275
Golden State Warriors,94,San Antonio Spurs,104,-138,+123
Denver Nuggets,127,Los Angeles Lakers,102,+152,-172
Minnesota Timberwolves,105,Boston Celtics,107,+296,-357
Washington Wizards,103,Indiana Pacers,115,+538,-724
Dallas Mavericks,118,Miami Heat,123,+119,-134
Los Angeles Clippers,125,Philadelphia 76ers,99,-122,+109
