Visitor/Neutral,Home/Neutral,AwayOdds,HomeOdds,Cutoff Date
New York Knicks,Minnesota Timberwolves,+161,-182,2025-01-18
Miami Heat,DEN Nuggets,-105,-105,2025-01-18
New Orleans Pelicans,Utah Jazz,+474,-617,2025-01-18
Milwaukee Bucks,Toronto Raptors,+451,-584,2025-01-18
Chicago Bulls,Charlotte Hornets,+166,-188,2025-01-18
Dallas Mavericks,Oklahoma City Thunder,-316,+266,2025-01-18
San Antonio Spurs,Memphis Grizzlies,-138,+123,2025-01-18
Los Angeles Lakers,Brooklyn Nets,+448,-581,2025-01-18
Detroit Pistons,Phoenix Suns,-113,+101,2025-01-18
Indiana Pacers,Philadelphia 76ers,+319,-389,2025-01-19
Boston Celtics,Atlanta Hawks,+329,-404,2025-01-19
GS Warriors,Washington Wizards,+593,-813,2025-01-19
Minnesota Timberwolves,Cleveland Cavaliers,-233,+203,2025-01-19
Portland Trail Blazers,Houston Rockets,-628,+478,2025-01-19
Miami Heat,San Antonio Spurs,+133,-150,2025-01-19
Orlando Magic,DEN Nuggets,-296,+252,2025-01-19
Oklahoma City Thunder,Brooklyn Nets,+857,-1265,2025-01-20
Milwaukee Bucks,Philadelphia 76ers,+542,-729,2025-01-20
LA Clippers,Los Angeles Lakers,+151,-170,2025-01-20
Sacramento Kings,Washington Wizards,+1010,-1562,2025-01-20
Portland Trail Blazers,Chicago Bulls,-237,+205,2025-01-20
Charlotte Hornets,Dallas Mavericks,-172,+151,2025-01-20
Houston Rockets,Detroit Pistons,+265,-314,2025-01-20
Memphis Grizzlies,Minnesota Timberwolves,+191,-219,2025-01-20
New York Knicks,Atlanta Hawks,+222,-259,2025-01-20
Cleveland Cavaliers,Phoenix Suns,+265,-315,2025-01-20
GS Warriors,Boston Celtics,-469,+375,2025-01-20
New Orleans Pelicans,Utah Jazz,+404,-510,2025-01-21
LA Clippers,Chicago Bulls,+195,-224,2025-01-21
