Visitor/Neutral,PTS,Home/Neutral,PTS2,AwayOdds,HomeOdds,Date,Start (ET),Attend.,LOG,Arena
Detroit Pistons,105.0,Minnesota Timberwolves,119.0,-287,245,2025-01-04,7:00p,20062.0,2:14,Little Caesars Arena
Chicago Bulls,126.0,New York Knicks,139.0,-208,182,2025-01-04,8:00p,22491.0,2:23,United Center
Milwaukee Bucks,105.0,Portland Trail Blazers,102.0,591,-813,2025-01-04,8:00p,17595.0,2:01,Fiserv Forum
Miami Heat,136.0,Utah Jazz,100.0,285,-341,2025-01-04,8:00p,19934.0,2:07,Kaseya Center
Oklahoma City Thunder,92.0,Boston Celtics,105.0,108,-120,2025-01-05,3:30p,18203.0,2:08,Paycom Center
Washington Wizards,110.0,New Orleans Pelicans,98.0,-201,177,2025-01-05,6:00p,15451.0,2:08,Capital One Arena
Cleveland Cavaliers,105.0,Charlotte Hornets,115.0,848,-1249,2025-01-05,6:00p,19432.0,2:06,Rocket Mortgage Fieldhouse
Orlando Magic,105.0,Utah Jazz,92.0,256,-302,2025-01-05,6:30p,19198.0,2:03,Kia Center
Houston Rockets,115.0,Los Angeles Lakers,119.0,158,-179,2025-01-05,7:00p,18055.0,2:16,Toyota Center
Philadelphia 76ers,109.0,Phoenix Suns,99.0,132,-149,2025-01-06,7:00p,19791.0,2:16,Wells Fargo Center
Detroit Pistons,115.0,Portland Trail Blazers,118.0,214,-247,2025-01-06,7:00p,16002.0,2:09,Little Caesars Arena
Toronto Raptors,128.0,Milwaukee Bucks,104.0,-296,252,2025-01-06,7:30p,17829.0,2:05,Scotiabank Arena
New York Knicks,103.0,Orlando Magic,94.0,489,-645,2025-01-06,7:30p,19812.0,2:16,Madison Square Garden (IV)
Brooklyn Nets,113.0,Indiana Pacers,99.0,-452,363,2025-01-06,7:30p,16088.0,2:12,Barclays Center
Chicago Bulls,110.0,San Antonio Spurs,114.0,-140,125,2025-01-06,8:00p,18886.0,2:13,United Center
Memphis Grizzlies,104.0,Dallas Mavericks,119.0,166,-188,2025-01-06,8:00p,16412.0,2:12,FedEx Forum
Sacramento Kings,118.0,Miami Heat,123.0,144,-162,2025-01-06,10:00p,17832.0,2:43,Golden 1 Center
Washington Wizards,135.0,Houston Rockets,112.0,-724,540,2025-01-07,7:00p,12930.0,2:05,Capital One Arena
Charlotte Hornets,104.0,Phoenix Suns,115.0,-176,156,2025-01-07,7:00p,16647.0,2:16,Spectrum Center
Dallas Mavericks,97.0,Los Angeles Lakers,118.0,-246,213,2025-01-07,7:30p,20126.0,2:09,American Airlines Center
New Orleans Pelicans,104.0,Minnesota Timberwolves,97.0,-189,167,2025-01-07,8:00p,16282.0,2:18,Smoothie King Center
Utah Jazz,124.0,Atlanta Hawks,121.0,-242,209,2025-01-07,9:00p,18175.0,2:18,Delta Center
Philadelphia 76ers,103.0,Washington Wizards,109.0,398,-502,2025-01-08,7:00p,19762.0,2:18,Wells Fargo Center
Indiana Pacers,113.0,Chicago Bulls,129.0,193,-222,2025-01-08,7:00p,16758.0,2:15,Gainbridge Fieldhouse
Cleveland Cavaliers,122.0,Oklahoma City Thunder,129.0,120,-134,2025-01-08,7:00p,19432.0,2:19,Rocket Mortgage Fieldhouse
New York Knicks,98.0,Toronto Raptors,112.0,492,-649,2025-01-08,7:30p,19812.0,2:11,Madison Square Garden (IV)
Brooklyn Nets,113.0,Detroit Pistons,98.0,-355,295,2025-01-08,7:30p,16098.0,2:07,Barclays Center
New Orleans Pelicans,119.0,Portland Trail Blazers,100.0,116,-129,2025-01-08,8:00p,16425.0,1:58,Smoothie King Center
Milwaukee Bucks,105.0,San Antonio Spurs,121.0,161,-183,2025-01-08,9:30p,17341.0,2:10,Fiserv Forum
Cleveland Cavaliers,126.0,Toronto Raptors,132.0,796,-1149,2025-01-09,7:00p,19432.0,2:08,Rocket Mortgage Fieldhouse
Orlando Magic,104.0,Minnesota Timberwolves,89.0,-213,186,2025-01-09,7:00p,18846.0,2:16,Kia Center
Memphis Grizzlies,119.0,Houston Rockets,115.0,-100,-110,2025-01-09,8:00p,16298.0,2:33,FedEx Forum
Dallas Mavericks,111.0,Portland Trail Blazers,117.0,258,-305,2025-01-09,7:30p,19241.0,2:15,American Airlines Center
Phoenix Suns,115.0,Atlanta Hawks,123.0,195,-224,2025-01-09,9:00p,17071.0,2:12,Footprint Center
Utah Jazz,97.0,Miami Heat,92.0,-210,184,2025-01-09,9:00p,18175.0,2:11,Delta Center
Philadelphia 76ers,123.0,New Orleans Pelicans,115.0,173,-196,2025-01-10,7:00p,19779.0,2:12,Wells Fargo Center
Orlando Magic,109.0,Milwaukee Bucks,106.0,-244,211,2025-01-10,7:00p,18846.0,2:24,Kia Center
New York Knicks,126.0,Oklahoma City Thunder,101.0,-183,162,2025-01-10,7:30p,19812.0,2:06,Madison Square Garden (IV)
Boston Celtics,114.0,Sacramento Kings,97.0,370,-460,2025-01-10,7:30p,19156.0,2:00,TD Garden
Chicago Bulls,105.0,Washington Wizards,138.0,486,-636,2025-01-10,8:00p,21391.0,2:03,United Center
Phoenix Suns,106.0,Utah Jazz,114.0,456,-591,2025-01-11,5:00p,17071.0,2:10,Footprint Center
Detroit Pistons,114.0,Toronto Raptors,123.0,179,-204,2025-01-11,7:00p,19011.0,2:15,Little Caesars Arena
Minnesota Timberwolves,127.0,Memphis Grizzlies,125.0,110,-122,2025-01-11,8:00p,18978.0,2:17,Target Center
Portland Trail Blazers,119.0,Miami Heat,98.0,-173,153,2025-01-11,10:00p,17505.0,2:08,Moda Center
New York Knicks,106.0,Milwaukee Bucks,140.0,157,-177,2025-01-12,3:00p,19812.0,2:14,Madison Square Garden (IV)
Chicago Bulls,124.0,Sacramento Kings,119.0,-162,143,2025-01-12,3:30p,18233.0,2:06,United Center
Washington Wizards,136.0,Oklahoma City Thunder,95.0,-1351,900,2025-01-12,6:00p,15711.0,2:18,Capital One Arena
Boston Celtics,119.0,New Orleans Pelicans,120.0,791,-1136,2025-01-12,6:00p,19156.0,2:15,TD Garden
Cleveland Cavaliers,108.0,Indiana Pacers,93.0,318,-389,2025-01-12,6:00p,19432.0,2:08,Rocket Mortgage Fieldhouse
Orlando Magic,99.0,Philadelphia 76ers,104.0,-107,-103,2025-01-12,6:00p,17723.0,2:35,Kia Center
Utah Jazz,111.0,Brooklyn Nets,112.0,159,-180,2025-01-12,8:00p,18175.0,2:44,Delta Center
Phoenix Suns,113.0,Charlotte Hornets,120.0,247,-290,2025-01-12,9:00p,17071.0,2:16,Footprint Center
